Africa,Spring,High,Coast Line,Rainy,Normal
Australia,Spring,Low,Coastline,Sunny,Hot
Africa,Spring,Low,Inland,Cloudy,Cold
North America,Summer,Normal,Coast Line,Humid,Hot
Africa,Spring,Normal,Inland,Rainy,Cold
Australia,Autumn,Low,Coastline,Rainy,Cold
North America,Summer,High,Inland,Sunny,Hot
Africa,Winter,Low,Inland,Humid,Cold
North America,Winter,High,Coast Line,Humid,Cold
North America,Winter,Low,Coast Line,Humid,Cold
Africa,Winter,High,Coast Line,Humid,Normal
North America,Autumn,High,Inland,Cloudy,Normal
Africa,Summer,High,Coast Line,Rainy,Normal
North America,Spring,Normal,Coast Line,Rainy,Normal
North America,Winter,Normal,Coast Line,Cloudy,Cold
Africa,Summer,Low,Inland,Rainy,Cold
North America,Autumn,Low,Coast Line,Cloudy,Normal
Africa,Winter,Low,Coast Line,Sunny,Normal
North America,Autumn,High,Coast Line,Sunny,Normal
North America,Winter,Low,Coast Line,Cloudy,Cold
Africa,Summer,Low,Inland,Cloudy,Cold
Africa,Autumn,High,Inland,Cloudy,Normal
Africa,Summer,Normal,Coast Line,Sunny,Hot
North America,Summer,Normal,Coast Line,Sunny,Hot
Africa,Autumn,Low,Coast Line,Sunny,Normal
North America,Winter,Low,Coast Line,Sunny,Cold
North America,Autumn,Low,Coast Line,Humid,Normal
Africa,Spring,Normal,Inland,Cloudy,Cold
Africa,Summer,Normal,Coast Line,Rainy,Normal
North America,Summer,Normal,Inland,Cloudy,Normal
Africa,Autumn,Normal,Coast Line,Humid,Hot
North America,Winter,High,Coast Line,Sunny,Cold
North America,Spring,High,Coast Line,Humid,Normal
Africa,Summer,High,Coast Line,Sunny,Hot
Africa,Winter,Low,Coast Line,Rainy,Cold
Africa,Winter,High,Coast Line,Cloudy,Normal
Australia,Summer,Low,Inland,Rainy,Cold
North America,Spring,Normal,Inland,Humid,Normal
North America,Summer,Low,Inland,Humid,Hot
North America,Summer,Low,Coast Line,Cloudy,Normal
North America,Winter,Low,Inland,Humid,Cold
North America,Winter,High,Coast Line,Cloudy,Cold
Australia,Winter,High,Inland,Sunny,Hot
Africa,Spring,Low,Inland,Rainy,Cold
Africa,Summer,High,Inland,Sunny,Hot
North America,Summer,High,Coast Line,Sunny,Hot
North America,Autumn,Normal,Inland,Cloudy,Normal
Africa,Spring,Normal,Coast Line,Humid,Cold
North America,Autumn,High,Coast Line,Humid,Normal
Africa,Spring,Normal,Coast Line,Cloudy,Cold
Africa,Autumn,High,Coast Line,Humid,Hot
Africa,Spring,Low,Coast Line,Rainy,Cold
Africa,Autumn,High,Coast Line,Cloudy,Normal
North America,Summer,Normal,Coast Line,Cloudy,Normal
Africa,Autumn,High,Inland,Humid,Hot
Africa,Autumn,Normal,Coast Line,Rainy,Normal
Africa,Winter,Low,Inland,Rainy,Cold
North America,Summer,Normal,Inland,Rainy,Normal
Africa,Autumn,Normal,Inland,Cloudy,Normal
Africa,Summer,High,Inland,Cloudy,Normal
Africa,Spring,High,Inland,Sunny,Hot
Africa,Winter,Low,Coast Line,Humid,Cold
Africa,Autumn,Low,Inland,Sunny,Normal
North America,Autumn,Normal,Coast Line,Cloudy,Normal
Africa,Winter,High,Inland,Cloudy,Normal
North America,Spring,High,Inland,Humid,Normal
Australia,Summer,Normal,Coastline,Sunny,Hot
North America,Spring,Low,Coast Line,Rainy,Cold
North America,Spring,Normal,Coast Line,Sunny,Normal
North America,Autumn,Normal,Inland,Sunny,Normal
Africa,Winter,Low,Coast Line,Cloudy,Cold
Australia,Spring,High,Coastline,Cloudy,Normal
North America,Winter,Low,Inland,Sunny,Cold
Africa,Winter,Normal,Inland,Sunny,Normal
North America,Spring,High,Coast Line,Rainy,Cold
North America,Autumn,Low,Coast Line,Sunny,Normal
Africa,Autumn,High,Coast Line,Sunny,Hot
North America,Winter,Normal,Coast Line,Rainy,Cold
Australia,Summer,Normal,Inland,Humid,Hot
Africa,Winter,High,Inland,Humid,Normal
Australia,Summer,Low,Inland,Humid,Hot
North America,Autumn,High,Coast Line,Cloudy,Normal
North America,Spring,Normal,Inland,Sunny,Normal
North America,Summer,High,Coast Line,Cloudy,Normal
North America,Autumn,Normal,Coast Line,Humid,Normal
North America,Winter,Normal,Coast Line,Sunny,Cold
North America,Spring,Low,Inland,Humid,Cold
North America,Spring,Low,Inland,Rainy,Cold
North America,Spring,Normal,Coast Line,Humid,Normal
Africa,Summer,High,Coast Line,Humid,Hot
North America,Spring,High,Coast Line,Cloudy,Cold
North America,Summer,High,Inland,Humid,Hot
North America,Spring,Normal,Inland,Rainy,Normal
North America,Summer,Low,Inland,Rainy,Cold
Africa,Autumn,Normal,Inland,Humid,Hot
Africa,Summer,Low,Coast Line,Cloudy,Cold
Australia,Summer,High,Inland,Humid,Hot
Africa,Winter,High,Coast Line,Rainy,Normal
North America,Summer,Normal,Inland,Sunny,Hot
Africa,Summer,Low,Coast Line,Humid,Normal
Africa,Spring,High,Coast Line,Humid,Normal
North America,Autumn,Normal,Inland,Rainy,Normal
Africa,Spring,Low,Coast Line,Sunny,Normal
Africa,Summer,Normal,Inland,Humid,Hot
Africa,Summer,Normal,Inland,Sunny,Hot
Africa,Winter,High,Coast Line,Sunny,Hot
North America,Autumn,Normal,Coast Line,Rainy,Normal
